,Date,Open,High,Low,Close
0,18540.915277777778,46.725,46.765,46.725,46.745
1,18540.91597222222,46.745,46.85,46.74,46.825
2,18530.645833333332,45.44,46.535,44.895,46.52
3,18530.666666666668,46.52,46.645,45.83,46.48
4,18530.6875,46.48,46.48,46.03,46.14
5,18530.708333333332,46.14,46.645,46.005,46.445
6,18530.729166666668,46.445,46.515,45.955,46.07
7,18530.75,46.07,46.36,46.065,46.23
8,18530.770833333332,46.23,46.485,46.18,46.39
9,18530.791666666668,46.39,46.51,46.33,46.44
10,18530.8125,46.44,46.725,46.395,46.685
11,18530.833333333332,46.685,46.745,46.315,46.365
12,18530.854166666668,46.365,46.445,46.21,46.405
13,18530.875,46.405,46.655,46.36,46.565
14,18530.895833333332,46.565,46.665,46.37,46.535
15,18533.645833333332,47.025,48.61,47.015,48.395
16,18533.666666666668,48.395,49.07,48.35,48.805
17,18533.6875,48.805,48.85,47.57,47.76
18,18533.708333333332,47.76,48.075,47.49,47.535
19,18533.729166666668,47.535,47.695,47.285,47.52
20,18533.75,47.52,47.935,47.41,47.89
21,18533.770833333332,47.89,48.01,47.745,47.865
22,18533.791666666668,47.865,47.885,47.715,47.765
23,18533.8125,47.765,47.985,47.635,47.965
24,18533.833333333332,47.965,48.005,47.625,47.655
25,18533.854166666668,47.655,47.895,47.6,47.7
26,18533.875,47.7,47.93,47.7,47.85
27,18533.895833333332,47.85,48.02,47.685,47.755
28,18534.645833333332,51.065,51.885,49.51,51.005
29,18534.666666666668,51.005,51.635,50.665,50.81
30,18534.6875,50.81,50.87,49.77,49.85
31,18534.708333333332,49.85,49.915,49.205,49.745
32,18534.729166666668,49.745,49.83,48.675,48.71
33,18534.75,48.71,49.195,48.485,48.915
34,18534.770833333332,48.915,49.16,48.575,48.75
35,18534.791666666668,48.75,48.9,48.11,48.3
36,18534.8125,48.3,48.385,47.92,48.3
37,18534.833333333332,48.3,48.305,47.46,48.14
38,18534.854166666668,48.14,48.305,47.765,47.81
39,18534.875,47.81,48.36,47.695,47.83
40,18534.895833333332,47.83,47.895,46.79,47.065
41,18535.645833333332,47.355,47.535,46.68,47.045
42,18535.666666666668,47.045,47.265,45.755,45.875
43,18535.6875,45.875,45.89,44.67,44.75
44,18535.708333333332,44.75,44.975,44.27,44.955
45,18535.729166666668,44.955,45.175,44.66,44.805
46,18535.75,44.805,45.165,44.8,44.97
47,18535.770833333332,44.97,45.2,44.82,45.185
48,18535.791666666668,45.185,45.295,44.685,44.975
49,18535.8125,44.975,45.39,44.685,45.29
50,18535.833333333332,45.29,45.53,44.64,44.64
51,18535.854166666668,44.64,44.8,44.38,44.76
52,18535.875,44.76,44.985,44.345,44.54
53,18535.895833333332,44.54,44.81,44.36,44.605
54,18536.645833333332,45.04,45.935,44.89,45.9
55,18536.666666666668,45.9,45.955,44.56,44.68
56,18536.6875,44.68,45.13,44.515,45.08
57,18536.708333333332,45.08,45.305,44.755,45.15
58,18536.729166666668,45.15,45.375,44.845,44.935
59,18536.75,44.935,44.99,44.62,44.71
60,18536.770833333332,44.71,44.855,44.575,44.735
61,18536.791666666668,44.735,45.01,44.66,44.695
62,18536.8125,44.695,44.945,44.645,44.66
63,18536.833333333332,44.66,44.705,44.13,44.575
64,18536.854166666668,44.575,44.59,44.29,44.375
65,18536.875,44.375,44.965,44.375,44.905
66,18536.895833333332,44.905,45.1,44.695,44.995
67,18537.645833333332,43.855,44.285,43.265,43.715
68,18537.666666666668,43.715,43.89,43.315,43.38
69,18537.6875,43.38,43.715,43.045,43.695
70,18537.708333333332,43.695,44.585,43.595,44.46
71,18537.729166666668,44.46,44.585,44.07,44.155
72,18537.75,44.155,46.105,43.895,45.76
73,18537.770833333332,45.76,46.305,45.73,45.805
74,18537.791666666668,45.805,46.045,45.595,45.77
75,18537.8125,45.77,45.895,45.275,45.495
76,18537.833333333332,45.495,45.965,45.495,45.865
77,18537.854166666668,45.865,46.025,45.755,45.815
78,18537.875,45.815,45.9,45.485,45.775
79,18537.895833333332,45.775,45.84,45.48,45.565
80,18540.645833333332,45.765,46.415,45.655,45.87
81,18540.666666666668,45.87,46.13,45.465,45.65
82,18540.6875,45.65,46.07,45.525,45.89
83,18540.708333333332,45.89,46.295,45.815,46.25
84,18540.729166666668,46.25,46.41,45.925,46.395
85,18540.75,46.395,46.58,46.275,46.37
86,18540.770833333332,46.37,46.55,46.18,46.545
87,18540.791666666668,46.545,46.935,46.54,46.93
88,18540.8125,46.93,46.98,46.29,46.33
89,18540.833333333332,46.33,46.71,46.22,46.685
90,18540.854166666668,46.685,46.81,46.545,46.6
91,18540.875,46.6,46.72,46.44,46.69
92,18540.895833333332,46.69,46.85,46.62,46.825
